a accidentIndex
b sexOfDriver
c ageOfDriver
d ageOfVehicle
e accidentSeverity
f speedLimit
g didPoliceOfficerAttendSceneOfAccident

a             b   c    d    e   f    g
201506F003919 1.0 32.0 -1.0 3.0 30.0 1.0
201506F003938 2.0 75.0 8.0 3.0 30.0 1.0
201506F003938 1.0 55.0 1.0 3.0 30.0 1.0
201506F003966 1.0 33.0 2.0 3.0 30.0 2.0
201506F003974 3.0 -1.0 -1.0 3.0 30.0 1.0
201506F003974 1.0 20.0 -1.0 3.0 30.0 1.0
201506F003976 1.0 37.0 1.0 2.0 30.0 1.0
201506F003976 1.0 37.0 1.0 2.0 30.0 1.0
201506F003976 1.0 42.0 -1.0 2.0 30.0 1.0
201506F003984 2.0 20.0 2.0 3.0 30.0 1.0
201506F003984 1.0 17.0 4.0 3.0 30.0 1.0
201506F004126 1.0 23.0 4.0 3.0 30.0 1.0
201506F004126 1.0 30.0 -1.0 3.0 30.0 1.0
201506F004165 3.0 -1.0 -1.0 3.0 30.0 2.0
201506F004165 1.0 28.0 3.0 3.0 30.0 2.0
201506F004165 1.0 28.0 3.0 3.0 30.0 2.0
201506F004382 1.0 30.0 9.0 3.0 30.0 1.0
201506F004382 1.0 27.0 8.0 3.0 30.0 1.0
201506F004382 1.0 27.0 8.0 3.0 30.0 1.0
201506F004440 2.0 33.0 3.0 3.0 30.0 1.0
201506F004440 1.0 27.0 -1.0 3.0 30.0 1.0
201506F004450 2.0 36.0 6.0 3.0 30.0 1.0
201506F004450 1.0 10.0 -1.0 3.0 30.0 1.0
201506F004608 2.0 21.0 -1.0 3.0 30.0 1.0
201506F004608 1.0 47.0 -1.0 3.0 30.0 1.0
201506F004614 1.0 27.0 13.0 3.0 40.0 1.0
201506F004614 1.0 30.0 12.0 3.0 40.0 1.0
201506F004614 1.0 30.0 12.0 3.0 40.0 1.0
201506F004718 1.0 21.0 1.0 3.0 30.0 1.0
201506F004732 1.0 49.0 2.0 2.0 30.0 1.0
201506F004739 1.0 14.0 -1.0 3.0 30.0 2.0
201506F004739 1.0 32.0 -1.0 3.0 30.0 2.0
201506F004840 2.0 68.0 12.0 3.0 30.0 1.0
201506F004872 1.0 35.0 -1.0 3.0 30.0 1.0
201506F004872 1.0 69.0 -1.0 3.0 30.0 1.0
201506F005000 2.0 38.0 -1.0 3.0 30.0 1.0
201506F005000 2.0 38.0 -1.0 3.0 30.0 1.0
201506F005000 2.0 38.0 -1.0 3.0 30.0 1.0
201506F005000 2.0 38.0 -1.0 3.0 30.0 1.0
201506F005000 1.0 23.0 -1.0 3.0 30.0 1.0
201506F005000 1.0 23.0 -1.0 3.0 30.0 1.0
201506F005000 1.0 23.0 -1.0 3.0 30.0 1.0
201506F005031 1.0 47.0 2.0 3.0 30.0 1.0
201506F005144 2.0 31.0 12.0 3.0 30.0 1.0
201506F005144 2.0 34.0 -1.0 3.0 30.0 1.0
201506F005217 2.0 28.0 13.0 3.0 30.0 1.0
